task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	34/2834af	12326661	job_dispatch (job-dispatch)	COMPLETED	0	2026-04-21 22:01:20.899	3m 10s	3.6s	58.2%	2.6 GB	3 GB	29.9 MB	597.6 KB
3	b1/fb5b6f	12326703	preprocessing (preprocessing)	COMPLETED	0	2026-04-21 22:04:31.002	3m 34s	26.6s	22.9%	296.3 MB	491.4 MB	526.2 MB	696.2 KB
2	db/1595be	12326702	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-04-21 22:04:30.859	6m 5s	2m 51s	1199.8%	8.5 GB	46.5 GB	10.9 GB	186 MB
4	e1/e48d6a	12326764	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-04-21 22:08:05.569	2m 35s	1.6s	214.6%	98.8 MB	1.3 GB	20.7 MB	236.7 KB
5	3c/51ea67	12326795	postprocessing (postprocessing)	COMPLETED	0	2026-04-21 22:10:40.558	3m 35s	4s	22.6%	100.9 MB	283.4 MB	28.9 MB	319.1 KB
6	e6/9fe2d4	12326827	curation (curation)	COMPLETED	0	2026-04-21 22:14:15.560	2m 35s	3.9s	30.6%	145 MB	575.1 MB	26.9 MB	252.9 KB
7	03/6ec8bf	12326845	visualization (visualization)	COMPLETED	0	2026-04-21 22:16:50.566	3m 40s	23.3s	34.4%	3.4 GB	6.9 GB	437.7 MB	1.3 MB
8	ff/8f12e6	12326878	results_collector (result-collector)	COMPLETED	0	2026-04-21 22:20:30.543	2m 35s	2.5s	74.9%	133.6 MB	467.8 MB	36.6 MB	1.2 MB
10	f4/c144aa	12327010	quality_control (quality-control)	COMPLETED	0	2026-04-21 22:23:05.651	3m 35s	10.5s	79.5%	1.2 GB	3.5 GB	441.8 MB	3.9 MB
9	72/a3b7cb	12327012	nwb_units (nwb-units)	FAILED	0	2026-04-21 22:23:05.766	3m 35s	5.8s	32.6%	176.1 MB	580.7 MB	40.3 MB	537.9 KB
11	0a/f31742	12327092	quality_control_collector (qc-collector)	ABORTED	-	2026-04-21 22:26:40.640	-	-	-	-	-	-	-
