task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	14/afffe2	12452034	job_dispatch (job-dispatch)	COMPLETED	0	2026-04-24 11:04:39.405	1m 10s	7.7s	34.9%	1.7 GB	2.1 GB	19.4 MB	600.7 KB
2	92/83be4a	12452045	preprocessing (preprocessing)	COMPLETED	0	2026-04-24 11:05:49.325	1m 35s	33.5s	18.0%	281.6 MB	476.8 MB	515.7 MB	715.6 KB
3	ea/6213d7	12452044	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-04-24 11:05:49.226	4m 5s	2m 58s	1108.7%	8.5 GB	46.5 GB	10.9 GB	186 MB
4	4e/d895e3	12452076	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-04-24 11:07:24.060	2m 35s	4.6s	74.8%	132.1 MB	1.3 GB	20.7 MB	240.1 KB
5	10/18a957	12452165	postprocessing (postprocessing)	COMPLETED	0	2026-04-24 11:09:59.023	1m 5s	5.7s	9.6%	133.5 MB	311.8 MB	18.4 MB	326.9 KB
6	90/729dd1	12452194	curation (curation)	COMPLETED	0	2026-04-24 11:11:04.043	34.8s	5.6s	23.3%	168.6 MB	595.7 MB	26.9 MB	265.3 KB
7	cf/822b35	12452199	visualization (visualization)	COMPLETED	0	2026-04-24 11:11:39.046	1m 35s	29.3s	27.1%	3.4 GB	6.8 GB	441 MB	1.3 MB
8	13/1a4c45	12452222	results_collector (result-collector)	COMPLETED	0	2026-04-24 11:13:14.004	34.9s	2.7s	52.8%	131 MB	464.9 MB	26.1 MB	1.2 MB
9	68/1b2336	12452230	nwb_units (nwb-units)	COMPLETED	0	2026-04-24 11:13:49.115	1m 5s	5.9s	26.6%	180.1 MB	586.4 MB	100.2 MB	70.5 MB
10	e6/b927a5	12452231	quality_control (quality-control)	COMPLETED	0	2026-04-24 11:13:49.196	1m 35s	15.7s	55.9%	1.2 GB	3.5 GB	439.1 MB	3.9 MB
11	df/31b591	12452264	quality_control_collector (qc-collector)	COMPLETED	0	2026-04-24 11:15:24.015	29.9s	981ms	82.5%	3.4 MB	5.7 MB	8.7 MB	728.5 KB
