task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	99/f9d2c9	12400518	job_dispatch (job-dispatch)	COMPLETED	0	2026-04-23 13:15:46.113	1m 10s	2.4s	102.7%	2.8 GB	3.6 GB	30.9 MB	1.4 MB
4	c6/b5afb8	12400572	preprocessing (preprocessing)	COMPLETED	0	2026-04-23 13:16:55.967	4m 35s	3m 32s	936.8%	16.1 GB	23.6 GB	155 GB	25.7 GB
3	b6/1027bd	12400573	preprocessing (preprocessing)	COMPLETED	0	2026-04-23 13:16:56.098	8m 5s	2m 46s	1005.6%	16 GB	23.6 GB	116 GB	25.4 GB
5	c3/62dce4	12400574	preprocessing (preprocessing)	COMPLETED	0	2026-04-23 13:16:56.221	11m 9s	3m 13s	910.7%	16.1 GB	23.7 GB	116.3 GB	25.4 GB
6	8b/acbc4e	12400575	preprocessing (preprocessing)	COMPLETED	0	2026-04-23 13:16:56.334	16m 9s	3m 47s	889.3%	16.2 GB	23.8 GB	155.3 GB	25.4 GB
7	ae/f56cbe	12400702	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-04-23 13:21:30.714	12m 5s	10m 1s	326.0%	29.6 GB	45.3 GB	149.2 MB	646 MB
8	7a/56c5e1	12400826	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-04-23 13:25:00.775	9m 45s	8m 22s	349.3%	29.2 GB	45 GB	147.8 MB	635.4 MB
2	b0/53fa80	12400576	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-04-23 13:16:56.413	21m 9s	19m 46s	1288.3%	11.4 GB	49.4 GB	1.1 TB	1.7 GB
9	5b/7929fd	12400864	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-04-23 13:28:05.753	15m 50s	8m 25s	347.9%	29.2 GB	44.8 GB	151.5 MB	667.3 MB
10	0c/c74619	12401113	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-04-23 13:33:05.740	16m 15s	7m 43s	374.3%	29.2 GB	44.9 GB	150.5 MB	659 MB
