task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	ba/fdce03	11664608	job_dispatch (job-dispatch)	COMPLETED	0	2026-04-11 02:01:20.029	34.3s	8s	52.5%	4.3 GB	5 GB	18.4 MB	793.8 KB
3	48/ce1c9d	11664618	preprocessing (preprocessing)	COMPLETED	0	2026-04-11 02:01:54.791	2m 10s	1m 13s	55.8%	1.6 GB	1.8 GB	3.9 GB	1.6 MB
4	d3/d64dc7	11664684	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-04-11 02:04:04.538	1m 10s	1.9s	201.0%	98.8 MB	1.3 GB	19.3 MB	222.5 KB
5	83/f4e4f3	11664704	postprocessing (postprocessing)	COMPLETED	0	2026-04-11 02:05:14.612	1m 20s	3s	58.1%	177.3 MB	327.1 MB	17.7 MB	335.7 KB
6	c5/da8d4b	11664720	curation (curation)	COMPLETED	0	2026-04-11 02:06:34.597	1m 5s	6s	56.6%	212.2 MB	611.6 MB	26 MB	263.8 KB
2	06/2529eb	11664617	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-04-11 02:01:54.698	11m 5s	10m 26s	916.5%	56.9 GB	487.8 GB	341.7 GB	866.6 MB
7	28/c652b6	11664731	visualization (visualization)	COMPLETED	0	2026-04-11 02:07:39.564	14m	12m 53s	707.6%	97.3 GB	582.8 GB	322.3 GB	2.1 GB
8	03/1f40b0	11664880	results_collector (result-collector)	COMPLETED	0	2026-04-11 02:21:39.603	34.8s	5s	46.5%	183.4 MB	515.9 MB	25.7 MB	5.3 MB
9	42/e127f7	11664888	nwb_units (nwb-units)	FAILED	0	2026-04-11 02:22:14.616	1m 25s	4.8s	30.3%	155.9 MB	533.7 MB	27.6 MB	530.3 KB
10	ea/3d303a	11664889	quality_control (quality-control)	ABORTED	-	2026-04-11 02:22:14.699	-	-	-	-	-	-	-
