task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	36/c48a61	12407143	job_dispatch (job-dispatch)	COMPLETED	0	2026-04-23 15:02:34.790	3m 9s	5s	51.6%	3.3 GB	3.7 GB	30.2 MB	759 KB
2	09/28e062	12407287	preprocessing (preprocessing)	COMPLETED	0	2026-04-23 15:05:44.562	4m 5s	1m 11s	55.3%	1.6 GB	1.8 GB	3.9 GB	1.6 MB
4	d0/4f9307	12407372	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-04-23 15:09:49.286	2m 10s	4.3s	81.1%	147.3 MB	1.3 GB	20.7 MB	240.1 KB
5	88/9ef777	12407513	postprocessing (postprocessing)	COMPLETED	0	2026-04-23 15:11:59.360	3m 35s	5.2s	16.3%	78.6 MB	283.2 MB	29.1 MB	327.5 KB
6	02/38dc65	12407654	curation (curation)	COMPLETED	0	2026-04-23 15:15:34.280	2m 35s	3.3s	37.5%	168.8 MB	596.4 MB	26.9 MB	265.3 KB
7	0d/fc3786	12407754	visualization (visualization)	COMPLETED	0	2026-04-23 15:18:09.283	3m 35s	39.6s	52.7%	6.1 GB	9.6 GB	1.8 GB	3.1 MB
8	db/e9a503	12408129	results_collector (result-collector)	COMPLETED	0	2026-04-23 15:21:44.357	2m 35s	5s	32.1%	107.5 MB	440.5 MB	38.5 MB	3 MB
3	ee/6363c8	12407289	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-04-23 15:05:44.668	20m 5s	16m 19s	1308.4%	12.6 GB	50.6 GB	683.8 GB	2.3 GB
10	58/6ad0d9	12408530	nwb_units (nwb-units)	FAILED	0	2026-04-23 15:25:49.399	2m 5s	5.8s	30.9%	175.3 MB	578.7 MB	40.4 MB	543.2 KB
9	ec/974fd3	12408458	quality_control (quality-control)	ABORTED	-	2026-04-23 15:24:19.323	-	-	-	-	-	-	-
