task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	ed/e36cd7	12412353	job_dispatch (job-dispatch)	COMPLETED	0	2026-04-23 16:11:30.956	3m 9s	3.8s	82.8%	3.3 GB	3.7 GB	30.2 MB	758.8 KB
2	e8/ecb0d7	12412618	preprocessing (preprocessing)	COMPLETED	0	2026-04-23 16:14:40.803	8m 5s	1m 25s	45.9%	1.6 GB	1.8 GB	3.9 GB	1.6 MB
4	32/a2ed08	12413323	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-04-23 16:22:45.581	1m 10s	1.6s	211.8%	94.4 MB	1.3 GB	20.7 MB	240.1 KB
5	44/671a90	12413398	postprocessing (postprocessing)	COMPLETED	0	2026-04-23 16:23:55.592	3m 35s	5.8s	14.8%	126.1 MB	302.5 MB	29.1 MB	311.7 KB
3	22/8a37a2	12412617	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-04-23 16:14:40.686	19m 5s	15m 25s	1342.1%	12.6 GB	50.6 GB	683.8 GB	2.3 GB
6	38/f50d86	12413670	curation (curation)	COMPLETED	0	2026-04-23 16:27:30.488	6m 35s	5.4s	16.5%	119.1 MB	567.8 MB	26.9 MB	265.3 KB
7	62/15dc6f	12413896	visualization (visualization)	COMPLETED	0	2026-04-23 16:34:05.545	2m 5s	1m 3s	39.2%	6.1 GB	9.6 GB	2.1 GB	2.6 MB
8	5d/3a8e35	12414150	results_collector (result-collector)	COMPLETED	0	2026-04-23 16:36:10.501	34.8s	6.2s	29.0%	100.5 MB	433.6 MB	38 MB	2.5 MB
9	b1/908fe9	12414283	nwb_units (nwb-units)	FAILED	0	2026-04-23 16:36:45.505	1m 10s	6.8s	29.9%	177.9 MB	582.2 MB	41 MB	543.4 KB
10	5e/59f08f	12414284	quality_control (quality-control)	ABORTED	-	2026-04-23 16:36:45.592	-	-	-	-	-	-	-
